,coefficient,lower_95,upper_95,is_significant
beehiiv_spend_x_liveintent_spend,612.4387832167627,51.385807268411554,1173.4917591651138,True
beehiiv_spend_x_google_spend,-736.9943098697805,-1551.2790133823396,77.29039364277844,False
liveintent_spend_x_meta_spend,-250.21317956115445,-527.5968171830713,27.17045806076237,False
snapchat_spend_x_tiktok_spend,28.079755045555927,-474.5521849119413,530.7116950030531,False
beehiiv_spend_x_moloco_spend,-151.32903947718302,-627.04222790064,324.38414894627397,False
moloco_spend_x_tiktok_spend,-57.33763445540453,-761.5157956185349,646.8405267077258,False
