channel,lag,correlation,p_value,p_value_adj,sig_raw_05,sig_bonf_05
amazon_spend,4,-0.13435883250751568,0.26746337620614624,1.0,False,False
beehiiv_spend,0,0.8495583898474465,1.0965656968273224e-21,7.675959877791257e-21,True,True
google_spend,6,0.7530488483515485,1.289191570448506e-13,9.024340993139542e-13,True,True
liveintent_spend,0,0.6569643233057145,2.06201357654403e-10,1.443409503580821e-09,True,True
meta_spend,6,-0.37957180103168836,0.0014110585969535575,0.009877410178674903,True,True
moloco_spend,1,0.4792572213949561,1.78972876070975e-05,0.0001252810132496825,True,True
snapchat_spend,6,-0.14624687051056262,0.23403267716000498,1.0,False,False
tiktok_spend,6,0.1619301382245258,0.18707561739366618,1.0,False,False
