channel,lag,correlation,p_value,p_value_adj,sig_raw_05,sig_bonf_05
meta_spend,0,0.19199105435767888,0.10126823162135339,0.7088776213494737,False,False
meta_spend,1,0.15300047275799178,0.19625404766051618,1.0,False,False
meta_spend,2,0.0451018497921684,0.7067715030174894,1.0,False,False
meta_spend,3,-0.0879206966534902,0.46594243316947365,1.0,False,False
meta_spend,4,-0.1832444837486174,0.12890924112926122,0.9023646879048286,False,False
meta_spend,5,-0.2785884505589779,0.02045219074753157,0.14316533523272099,True,False
meta_spend,6,-0.37957180103168836,0.0014110585969535575,0.009877410178674903,True,True
google_spend,0,0.7168210140342253,6.843248025811523e-13,4.790273618068066e-12,True,True
google_spend,1,0.7334383438007656,1.5904196895933175e-13,1.1132937827153221e-12,True,True
google_spend,2,0.7353414201010288,1.900414759219623e-13,1.330290331453736e-12,True,True
google_spend,3,0.7205382861868666,1.4006461134547485e-12,9.80452279418324e-12,True,True
google_spend,4,0.7233432621452403,1.5202062611469352e-12,1.0641443828028546e-11,True,True
google_spend,5,0.7289542340014399,1.235572600790861e-12,8.649008205536027e-12,True,True
google_spend,6,0.7530488483515485,1.289191570448506e-13,9.024340993139542e-13,True,True
snapchat_spend,0,0.08529763465915077,0.4699352415150233,1.0,False,False
snapchat_spend,1,0.043061263228880625,0.7175513315895765,1.0,False,False
snapchat_spend,2,0.03978953879193037,0.7400040742483238,1.0,False,False
snapchat_spend,3,0.030466126655454298,0.800875629959862,1.0,False,False
snapchat_spend,4,-0.025431954235277398,0.8344626566989298,1.0,False,False
snapchat_spend,5,-0.10019912107004735,0.4126863538633432,1.0,False,False
snapchat_spend,6,-0.14624687051056262,0.23403267716000498,1.0,False,False
tiktok_spend,0,-0.04104071188867385,0.7284550544480667,1.0,False,False
tiktok_spend,1,-0.013754617433284256,0.9080515359454651,1.0,False,False
tiktok_spend,2,0.019338677445442574,0.8719065237062857,1.0,False,False
tiktok_spend,3,0.056339080068648795,0.6407387360727086,1.0,False,False
tiktok_spend,4,0.09951941341519616,0.41239593310798944,1.0,False,False
tiktok_spend,5,0.1323475911306435,0.278340548314455,1.0,False,False
tiktok_spend,6,0.1619301382245258,0.18707561739366618,1.0,False,False
moloco_spend,0,0.4726299856878976,2.1198007089340985e-05,0.0001483860496253869,True,True
moloco_spend,1,0.4792572213949561,1.78972876070975e-05,0.0001252810132496825,True,True
moloco_spend,2,0.42942749137103914,0.00016709683637058378,0.0011696778545940865,True,True
moloco_spend,3,0.41468326936473815,0.00032378358680589236,0.0022664851076412466,True,True
moloco_spend,4,0.41862267658127505,0.00031032054466574664,0.0021722438126602264,True,True
moloco_spend,5,0.3790655828719931,0.0013180917441763564,0.009226642209234494,True,True
moloco_spend,6,0.35254856553217806,0.003192236938714025,0.022345658570998177,True,True
liveintent_spend,0,0.6569643233057145,2.06201357654403e-10,1.443409503580821e-09,True,True
liveintent_spend,1,0.6133558782541508,7.973944120989028e-09,5.5817608846923195e-08,True,True
liveintent_spend,2,0.5677242634977793,1.9855559041840854e-07,1.3898891329288597e-06,True,True
liveintent_spend,3,0.4895234246414853,1.4750779017807176e-05,0.00010325545312465023,True,True
liveintent_spend,4,0.46819969721550825,4.364502800830525e-05,0.00030551519605813676,True,True
liveintent_spend,5,0.5148583754896425,6.006820033449496e-06,4.204774023414647e-05,True,True
liveintent_spend,6,0.5057347168306434,1.0864715763374771e-05,7.60530103436234e-05,True,True
beehiiv_spend,0,0.8495583898474465,1.0965656968273224e-21,7.675959877791257e-21,True,True
beehiiv_spend,1,0.8129803671433129,2.4358507144665063e-18,1.7050955001265544e-17,True,True
beehiiv_spend,2,0.7830501436740528,4.401746054099625e-16,3.0812222378697375e-15,True,True
beehiiv_spend,3,0.7701385937731513,4.140956662039143e-15,2.8986696634274e-14,True,True
beehiiv_spend,4,0.7836231794153867,1.0656985018816721e-15,7.459889513171705e-15,True,True
beehiiv_spend,5,0.7604573205557703,3.463465740665612e-14,2.4244260184659283e-13,True,True
beehiiv_spend,6,0.7226370340548627,3.4748222815002644e-12,2.432375597050185e-11,True,True
amazon_spend,0,-0.08779669720550759,0.4569757930423329,1.0,False,False
amazon_spend,1,-0.05966248653354868,0.6160859429433955,1.0,False,False
amazon_spend,2,-0.09420333561014059,0.43122052554747287,1.0,False,False
amazon_spend,3,-0.10012425586754917,0.4060993509747815,1.0,False,False
amazon_spend,4,-0.13435883250751568,0.26746337620614624,1.0,False,False
amazon_spend,5,-0.09292990556644803,0.4475672267704116,1.0,False,False
amazon_spend,6,-0.07712771601723435,0.5318711860916985,1.0,False,False
